car_id,brand,model,year,color,license_plate,vin,current_location_id,purchase_date,purchase_price,daily_rental_price,fuel_type,transmission,seats,status,mileage
39,BMW,5 Series,2019,Red,NE9595BY,VIN24487341217529531,14,2019-05-08,110819.23,1798.75,Diesel,Automatic,5,Available,93801
40,BMW,5 Series,2020,Silver,NE3068BY,VIN92731369505215298,5,2021-08-15,102275.79,913.01,Diesel,Automatic,4,Maintenance,113947
41,Kia,Rio,2024,Blue,NE1878BE,VIN22275859650521630,4,2018-09-25,35849.46,586.49,Diesel,Automatic,7,Reserved,60049
42,Chery,Tiggo 8 Pro,2020,Silver,NE1986BE,VIN48139525243191124,11,2018-03-08,72203.33,1792.85,Petrol,Automatic,4,Available,54545
43,Kia,Seltos,2020,Silver,NE8438BE,VIN43639917686388045,15,2020-11-19,55652.8,717.8,Hybrid,Automatic,5,Available,72376
44,Peugeot,408,2020,Black,MR5728BY,VIN77546495931753507,12,2020-12-13,57399.47,528.88,Diesel,Manual,5,Available,79385
45,Volkswagen,Tiguan,2023,White,AB1339BY,VIN15797993576197163,13,2019-08-17,78058.04,956.7,Hybrid,Manual,5,Rented,77720
46,Hyundai,Creta,2018,Silver,NE2713BE,VIN69324310206939994,12,2021-05-22,59400.21,887.55,Diesel,Automatic,5,Available,42224
47,Ford,Kuga,2018,Blue,AB9889BY,VIN17811632458274770,4,2022-06-20,84403.69,1255.17,Diesel,Manual,4,Rented,36003
48,BMW,5 Series,2020,White,AB4920BE,VIN89384268413686328,1,2022-07-03,121905.8,2422.3,Petrol,Automatic,5,Available,85896
49,BYD,Song Plus,2021,Red,MR7807BY,VIN78054044483080176,4,2021-09-05,73653.06,954.66,Diesel,Automatic,7,Rented,114249
50,Skoda,Superb,2024,Blue,MR1042BY,VIN53026431438912058,14,2022-10-22,84750.15,1275.83,Diesel,Automatic,5,Reserved,46236
51,Toyota,Prius,2021,Red,AB7274BE,VIN16290239067295378,6,2023-08-23,78657.05,1792.06,Diesel,Manual,7,Rented,65923
52,Volkswagen,Golf,2022,White,MR2633BY,VIN69084143428329102,14,2023-03-03,64307.07,877.4,Diesel,Manual,5,Reserved,86175
53,Skoda,Superb,2024,Silver,NE8994BE,VIN19860470174503629,4,2023-11-10,81858.94,1397.46,Petrol,Automatic,5,Available,100663
54,Audi,A3,2021,White,AB6314BE,VIN61660009630213787,6,2021-03-08,80822.77,1058.04,Hybrid,Manual,7,Rented,23280
55,Renault,Logan,2022,Black,MR3344BE,VIN76231089739638965,5,2023-01-26,40450.08,749.75,Diesel,Manual,7,Rented,10681
56,Kia,Sportage,2022,Red,MR8484BY,VIN25370354292917765,4,2021-10-12,70983.08,1728.76,Hybrid,Manual,7,Maintenance,3875
57,BYD,Tang,2021,Red,NE1803BY,VIN51244927008882211,13,2019-10-26,88234.41,1554.76,Diesel,Automatic,7,Rented,82381
58,Ford,Mondeo,2023,White,MR8222BE,VIN62582045848629988,12,2019-02-10,56943.28,1062.95,Diesel,Manual,4,Rented,18322
59,Geely,Emgrand,2020,Black,MR8894BY,VIN77493663499600659,2,2019-04-28,41901.08,985.9,Hybrid,Manual,7,Maintenance,12836
60,Geely,Atlas,2018,Silver,NE5295BY,VIN63534997561669695,2,2023-04-16,48966.88,494.61,Petrol,Manual,7,Rented,85889
61,Skoda,Kodiaq,2023,Black,AB1609BY,VIN80994692693891238,2,2018-04-18,82554.75,1233.45,Petrol,Manual,5,Maintenance,88881
62,Lada,XRAY,2022,Gray,NE2622BY,VIN68815697112490545,5,2018-12-12,46134.04,490.26,Petrol,Manual,5,Rented,113125
63,Toyota,Corolla,2023,Red,MR1992BY,VIN37354295705807515,2,2021-02-22,52346.7,1221.19,Petrol,Automatic,4,Maintenance,32925
64,Renault,Sandero,2018,Blue,AB4817BY,VIN31264798725244142,13,2022-01-09,37957.81,661.28,Petrol,Automatic,7,Maintenance,105662
65,Renault,Logan,2023,Silver,AB6304BE,VIN48243489063593518,1,2019-12-14,40397.37,413.7,Hybrid,Automatic,7,Available,63422
66,Kia,Sportage,2022,Black,NE1710BY,VIN14489284346866571,1,2021-07-14,76873.32,1205.69,Hybrid,Automatic,5,Reserved,10632
67,Chery,Tiggo 7 Pro,2020,Silver,NE9984BY,VIN86461299586739243,5,2021-09-20,54124.46,493.43,Diesel,Automatic,7,Available,112777
68,Audi,Q5,2023,Black,MR6553BY,VIN69950426540420713,12,2018-06-14,158274.62,2423.37,Diesel,Manual,5,Rented,91023
69,Chery,Tiggo 8 Pro,2018,Gray,AB7105BE,VIN18644169533640707,10,2022-09-11,56824.5,537.06,Hybrid,Automatic,5,Maintenance,115505
70,Audi,Q3,2024,Silver,NE6119BY,VIN93286833722921229,9,2019-03-22,131633.75,1168.19,Diesel,Automatic,4,Maintenance,111804
71,BMW,X1,2018,Gray,NE1430BY,VIN36000692752251350,5,2023-05-11,120504.23,2140.12,Diesel,Automatic,4,Rented,75228
72,Audi,Q3,2018,White,AB9691BE,VIN70504236706645707,8,2020-03-12,100674.99,1889.06,Diesel,Manual,7,Available,116781
73,Volkswagen,Golf,2019,White,MR8259BY,VIN97488872452477791,8,2021-05-07,60088.72,531.54,Hybrid,Automatic,5,Reserved,15534
74,Ford,EcoSport,2022,Gray,NE1897BE,VIN53439106836206327,4,2019-05-10,55006.99,482.53,Diesel,Automatic,4,Reserved,98912
75,Hyundai,Elantra,2019,Blue,NE6802BE,VIN16096400026069925,7,2018-08-03,45703.11,912.34,Diesel,Manual,7,Reserved,93995
76,Audi,Q3,2020,Silver,AB8538BY,VIN72936797571690002,14,2018-04-14,99606.93,832.17,Hybrid,Manual,7,Available,52873
77,BYD,Han,2023,Black,AB9363BE,VIN83491836220848062,4,2020-06-24,78487.83,1072.31,Hybrid,Automatic,4,Available,20194
78,Ford,Mondeo,2019,Red,AB3902BY,VIN74694064076293454,11,2022-11-21,67047.98,1402.89,Hybrid,Manual,7,Maintenance,20786
79,Kia,Rio,2021,Silver,NE1920BY,VIN20692001139840137,5,2021-08-02,40748.7,535.76,Petrol,Manual,5,Available,85497
80,BYD,Song Plus,2022,Blue,NE1672BY,VIN56336886841570867,10,2021-09-05,66881.6,972.2,Petrol,Manual,4,Maintenance,94626
81,Skoda,Rapid,2018,Gray,NE9564BE,VIN63733633028549284,15,2020-07-14,38220.67,590.2,Diesel,Automatic,7,Maintenance,9639
82,Toyota,Corolla,2022,Red,NE3463BY,VIN93981613307613281,11,2019-06-10,58567.59,751.45,Hybrid,Manual,4,Available,41577
83,BMW,X3,2023,Red,NE9624BE,VIN83280914211494933,6,2018-06-10,149583.1,3264.52,Petrol,Automatic,5,Reserved,26166
84,Peugeot,408,2019,White,NE9843BE,VIN58532862704824795,15,2022-03-20,46157.48,1031.86,Diesel,Automatic,4,Rented,109966
85,Lada,Vesta,2023,Red,NE4891BY,VIN51062441182821190,13,2023-08-08,35252.08,528.24,Hybrid,Automatic,5,Reserved,119485
86,BYD,Song Plus,2020,Gray,MR5616BY,VIN86014966179528245,7,2019-04-26,68566.14,1213.42,Hybrid,Automatic,5,Available,85040
87,Kia,Sportage,2022,Blue,AB5670BE,VIN33103444111564778,5,2021-09-05,83685.87,1681.57,Diesel,Automatic,4,Reserved,116950
88,Toyota,Corolla,2021,Black,MR2337BY,VIN14062254047387473,6,2018-12-21,46065.14,761.65,Diesel,Automatic,4,Available,38601
89,Chery,Tiggo 8 Pro,2023,Gray,MR1086BE,VIN46882524929880148,4,2019-09-24,71622.21,1496.93,Hybrid,Manual,4,Maintenance,32147
90,Ford,Focus,2018,Blue,MR2029BE,VIN95999158811741894,9,2018-11-17,41338.15,779.73,Hybrid,Automatic,7,Rented,39177
91,Hyundai,Solaris,2022,Black,NE2402BY,VIN88410475698377959,9,2022-09-01,39586.61,700.73,Diesel,Manual,4,Reserved,49929
92,Ford,Focus,2020,Red,NE2698BY,VIN16389443030622623,6,2022-06-27,49039.28,679.76,Hybrid,Automatic,7,Reserved,92146
93,Kia,Ceed,2024,Gray,AB5807BE,VIN55482149066463502,15,2020-09-13,42022.79,847.72,Hybrid,Manual,5,Available,99735
94,Audi,A4,2020,Red,MR5476BE,VIN63037154412115036,7,2021-12-15,104278.97,2218.46,Diesel,Manual,4,Reserved,91710
95,Kia,Sportage,2024,Red,MR2293BY,VIN36006520135480654,9,2020-06-04,75385.52,1629.8,Petrol,Manual,7,Maintenance,41173
96,Kia,Seltos,2019,White,NE6776BY,VIN18266171143543946,2,2023-11-13,68795.3,961.5,Diesel,Automatic,4,Rented,112236
97,Mercedes,GLC,2018,Red,MR6933BY,VIN91748569049024220,1,2022-03-22,126311.5,1517.24,Diesel,Manual,5,Reserved,101019
98,Skoda,Rapid,2022,Silver,AB2858BE,VIN36812350117261323,8,2022-07-18,39770.35,530.72,Petrol,Manual,5,Reserved,29124
99,Mercedes,GLA,2023,White,AB2213BY,VIN74147285249845443,2,2023-06-22,131659.16,2152.68,Diesel,Automatic,7,Maintenance,117828
100,Ford,Mondeo,2023,Black,MR9335BE,VIN44117279470677828,13,2021-01-12,69191.28,1377.16,Hybrid,Manual,5,Rented,81209
101,Chery,Tiggo 7 Pro,2018,Red,MR9612BY,VIN69005591160879069,14,2022-02-05,49639.36,1240.64,Diesel,Automatic,5,Reserved,90143
102,BMW,X1,2019,Red,NE3981BE,VIN82470307893416553,15,2018-02-17,125118.41,2660.58,Petrol,Manual,4,Rented,43291
103,Chery,Tiggo 7 Pro,2020,Silver,AB5105BE,VIN49552562353140090,3,2023-05-20,59212.25,996.02,Hybrid,Automatic,7,Rented,78569
104,Mercedes,E-Class,2019,Blue,MR1674BE,VIN16551732440728932,11,2022-05-21,142936.64,2894.58,Petrol,Manual,7,Available,66278
105,Chery,Tiggo 8 Pro,2023,Red,MR5873BY,VIN32781790990530040,8,2021-08-15,74133.0,1201.7,Petrol,Manual,7,Rented,41970
106,BYD,Tang,2020,Gray,AB7070BE,VIN44838096016151612,8,2018-05-15,102025.99,2309.18,Petrol,Automatic,4,Available,39038
107,Hyundai,Creta,2019,Silver,NE6123BE,VIN32963664400935980,8,2022-08-16,69253.72,1616.33,Diesel,Manual,4,Available,52543
108,BMW,X3,2019,White,MR9108BY,VIN87345288417103455,1,2018-07-05,120757.22,1690.51,Diesel,Manual,5,Maintenance,6930
109,Hyundai,Solaris,2022,Silver,AB7329BY,VIN89242759779646718,5,2022-11-20,42303.62,599.14,Petrol,Automatic,4,Reserved,49915
110,Geely,Atlas,2022,Black,NE9341BY,VIN15801343323544336,1,2018-03-23,59084.23,1230.98,Diesel,Manual,7,Reserved,20521
111,Mercedes,E-Class,2020,Gray,NE5902BY,VIN86718254218583948,8,2023-10-10,156568.44,2100.37,Diesel,Automatic,5,Maintenance,89317
112,Skoda,Kodiaq,2022,Red,NE1436BY,VIN93245891839255772,4,2023-01-19,82691.95,1924.99,Diesel,Automatic,7,Reserved,20369
113,BYD,Tang,2019,White,AB1310BY,VIN70352602617816711,3,2021-12-07,80947.12,1952.4,Diesel,Manual,7,Available,93507
114,Renault,Sandero,2022,Blue,MR6140BE,VIN59334522092389349,9,2020-11-25,31900.59,614.34,Hybrid,Manual,7,Reserved,26200
115,Peugeot,3008,2022,Silver,MR4396BY,VIN79146960487617805,6,2022-12-09,65969.98,1583.63,Diesel,Automatic,7,Reserved,118409
116,Hyundai,Tucson,2024,Silver,NE2294BY,VIN73753119825913143,11,2020-12-16,76092.32,984.46,Petrol,Automatic,7,Maintenance,74664
117,Lada,Largus,2019,Black,AB1831BE,VIN43555285143475684,1,2018-07-11,33419.95,688.29,Hybrid,Manual,4,Rented,1679
118,BMW,5 Series,2021,Gray,MR4267BY,VIN51132684129864690,11,2018-02-21,132644.64,3046.98,Hybrid,Automatic,7,Available,23946
119,Hyundai,Elantra,2018,Gray,AB5742BE,VIN53002848989893955,10,2022-02-11,54957.58,810.56,Diesel,Manual,7,Reserved,117557
120,Renault,Kaptur,2020,Black,NE8518BY,VIN36834116938173663,1,2023-06-26,53856.23,533.98,Diesel,Automatic,4,Reserved,109395
